lot_id,lot_name,address_hint,business_name,business_address,place_id,impact_weight,business_type,notes,confidence,source_url
100_venice_way,100 Venice Way Parking,100 Venice Way,Belles Beach House,"24 Windward Ave, Venice, CA 90291",,2.4,restaurant/nightlife,Very strong Windward demand driver; good evening/weekend signal,high,https://www.bellesbeachhouse.com/
100_venice_way,100 Venice Way Parking,100 Venice Way,Bank of America Venice,"121 Windward Ave, Venice, CA 90291",,1.0,bank/office,Directly tied to 121 Windward; mainly weekday/daytime demand,high,https://locators.bankofamerica.com/ca/venice/financial-centers-venice-9712.html
100_venice_way,100 Venice Way Parking,100 Venice Way,Great White Venice,"1604 Pacific Ave, Venice, CA 90291",,1.5,restaurant/cafe,All-day cafe near beach/boardwalk; strong brunch and tourist signal,high,https://resy.com/cities/los-angeles-ca/venues/great-white
100_venice_way,100 Venice Way Parking,100 Venice Way,Hotel Erwin,"1697 Pacific Ave, Venice, CA 90291",,1.4,hotel,Hotel guest and rooftop/bar demand near boardwalk,high,https://www.hotelerwin.com/
100_venice_way,100 Venice Way Parking,100 Venice Way,Kassi Venice Beach,"1697 Pacific Ave, Venice, CA 90291",,1.6,rooftop/restaurant,Rooftop restaurant/bar signal; useful for evening demand,high,https://www.kassiclub.com/
121_windward,121 Windward Parking,121 Windward Ave,Belles Beach House,"24 Windward Ave, Venice, CA 90291",,2.4,restaurant/nightlife,Very strong Windward demand driver; good evening/weekend signal,high,https://www.bellesbeachhouse.com/
121_windward,121 Windward Parking,121 Windward Ave,Bank of America Venice,"121 Windward Ave, Venice, CA 90291",,1.0,bank/office,Directly tied to 121 Windward; mainly weekday/daytime demand,high,https://locators.bankofamerica.com/ca/venice/financial-centers-venice-9712.html
121_windward,121 Windward Parking,121 Windward Ave,Great White Venice,"1604 Pacific Ave, Venice, CA 90291",,1.5,restaurant/cafe,All-day cafe near beach/boardwalk; strong brunch and tourist signal,high,https://resy.com/cities/los-angeles-ca/venues/great-white
121_windward,121 Windward Parking,121 Windward Ave,Hotel Erwin,"1697 Pacific Ave, Venice, CA 90291",,1.4,hotel,Hotel guest and rooftop/bar demand near boardwalk,high,https://www.hotelerwin.com/
121_windward,121 Windward Parking,121 Windward Ave,Kassi Venice Beach,"1697 Pacific Ave, Venice, CA 90291",,1.6,rooftop/restaurant,Rooftop restaurant/bar signal; useful for evening demand,high,https://www.kassiclub.com/
