date,start_time,end_time,record_type,title,parking_lot,expected_people,weather_condition,temp_f,rain_chance,impact,lat,lon,notes,source,priority,direction,reason_type,reason,expected_impact,suggested_action
2026-06-29,,,weather,Weather: partly cloudy,all,,partly cloudy,72.0,10.0,3.0,,,Estimated weekly planning weather input. Replace with real forecast if desired.,estimate,,,,,,
2026-06-30,,,weather,Weather: sunny,all,,sunny,75.0,5.0,6.0,,,Estimated weekly planning weather input. Replace with real forecast if desired.,estimate,,,,,,
2026-07-01,,,weather,Weather: sunny,all,,sunny,77.0,5.0,7.0,,,Estimated weekly planning weather input. Replace with real forecast if desired.,estimate,,,,,,
2026-07-02,,,weather,Weather: sunny,all,,sunny,78.0,5.0,8.0,,,Estimated weekly planning weather input. Replace with real forecast if desired.,estimate,,,,,,
2026-07-03,,,weather,Weather: warm and sunny,all,,warm and sunny,80.0,5.0,10.0,,,Estimated weekly planning weather input. Replace with real forecast if desired.,estimate,,,,,,
2026-07-04,,,weather,Weather: hot and sunny,all,,hot and sunny,82.0,5.0,14.0,,,Estimated weekly planning weather input. Replace with real forecast if desired.,estimate,,,,,,
2026-07-05,,,weather,Weather: sunny,all,,sunny,79.0,5.0,9.0,,,Estimated weekly planning weather input. Replace with real forecast if desired.,estimate,,,,,,
2026-07-04,,,holiday,Independence Day / July 4 holiday,all,,,,,16.0,,,"National holiday. Beach, tourism, restaurant, and nightlife demand expected to rise.",calendar,,,,,,
2026-07-02,10:00,17:00,event,FIFA World Cup 2026 Round of 32 at SoFi Stadium,11801 W Olympic Blvd Parking,70000.0,,,,20.0,33.9535,-118.3392,Source-backed major LA event. SoFi listing shows a July 2 Round of 32 match. Impact estimated by distance.,SoFi/FIFA schedule,,,,,,
2026-07-02,10:00,17:00,event,FIFA World Cup 2026 Round of 32 at SoFi Stadium,139 South Beverly Parking,70000.0,,,,12.0,33.9535,-118.3392,Source-backed major LA event. SoFi listing shows a July 2 Round of 32 match. Impact estimated by distance.,SoFi/FIFA schedule,,,,,,
2026-07-02,10:00,17:00,event,FIFA World Cup 2026 Round of 32 at SoFi Stadium,6125 Hollywood Blvd Parking **,70000.0,,,,12.0,33.9535,-118.3392,Source-backed major LA event. SoFi listing shows a July 2 Round of 32 match. Impact estimated by distance.,SoFi/FIFA schedule,,,,,,
2026-07-02,17:00,23:00,event,Dodgers vs Padres at Dodger Stadium,11801 W Olympic Blvd Parking,52000.0,,,,7.0,34.0739,-118.24,Source-backed MLB schedule shows Dodgers home games vs Padres July 2-5. Start times are planning estimates.,MLB/Dodgers schedule,,,,,,
2026-07-02,17:00,23:00,event,Dodgers vs Padres at Dodger Stadium,139 South Beverly Parking,52000.0,,,,7.0,34.0739,-118.24,Source-backed MLB schedule shows Dodgers home games vs Padres July 2-5. Start times are planning estimates.,MLB/Dodgers schedule,,,,,,
